firm,title,fitScoreFull,geo,postedDateResolved,daysAgo,locationResolved,workType,ats,url
Gensler,Architect - Interior Architecture,6,foreign,2026-06-25,5,"Santo Domingo, Dominican Republic",,workday,https://gensler.wd1.myworkdayjobs.com/job/Santo-Domingo-Dominican-Republic/Architect---Interior-Architecture_R-17929
Gensler,BIM Modelers – Critical Facilities,6,foreign,2026-06-25,5,"Sydney, Australia",,workday,https://gensler.wd1.myworkdayjobs.com/job/Sydney-Australia/BIM-Modelers---Critical-Facilities_R-17920
AECOM,Designer Mechanical- Wastewater,6,foreign,2026-06-25,5,"Mumbai, TIMES SQUARE, in",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000134167969
WSP USA,"Designer, Cable Containment, Rail and Transit",6,foreign,2026-06-25,5,"Toronto, ON, Canada",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89581
WSP USA,BIM Engineer - Building Technology Systems,6,foreign,2026-06-25,5,"Bengaluru, Karnataka, India",,oracle-cloud,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/89719
Gensler,BIM Operator – Critical Facilities,6,foreign,2026-06-24,6,"Tokyo, Japan",,workday,https://gensler.wd1.myworkdayjobs.com/job/Tokyo-Japan/BIM-Operator---Critical-Facilities_R-17930
AECOM,Designer Mechanical- Wastewater,6,foreign,2026-06-24,6,"Gurugram, HARYANA, in",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133957909
AECOM,Landscape Architect - Architecture,6,foreign,2026-06-24,6,"Bengaluru, KA, in",,smartrecruiters,https://jobs.smartrecruiters.com/AECOM2/https://api.smartrecruiters.com/v1/companies/AECOM2/postings/744000133884999
Gensler,BIM Modelers – Critical Facilities,6,foreign,2026-06-23,7,"Bangkok, Thailand",,workday,https://gensler.wd1.myworkdayjobs.com/job/Bangkok-Thailand/BIM-Modelers---Critical-Facilities_R-17903
Gensler,Technical Designer - Mid Level,6,foreign,2026-06-23,7,"Bangalore, India",,workday,https://gensler.wd1.myworkdayjobs.com/job/Bangalore-India/Technical-Designer---Mid-Level_R-17916
Gensler,Project Architect - Core & Shell,6,foreign,2026-06-23,7,"Gurugram, India",,workday,https://gensler.wd1.myworkdayjobs.com/job/Gurugram-India/Project-Architect---Core---Shell_R-17917
